qseqid,sseqid,pident
YP_009172541.1,YP_009173058.1,98.792
YP_010842389.1,YP_010842403.1,95.38
YP_009342159.1,YP_010087969.1,74.753
YP_003986590.1,YP_010777016.1,82.972
YP_003987028.1,YP_004894684.1,56.7
YP_004895057.1,YP_010788355.1,78.756
YP_003987028.1,YP_010788720.1,57.606
YP_003987028.1,YP_010841923.1,63.195
YP_003987028.1,YP_010777428.1,95.199
YP_003987029.1,YP_010777429.1,94.923
YP_004895060.1,YP_007354741.1,52.265
YP_004895060.1,YP_010790095.1,50.708
YP_004895060.1,YP_010777739.1,51.797
YP_009255210.1,YP_009345586.1,78.024
YP_009255216.1,YP_009345585.1,67.303
YP_009702436.1,YP_009703798.1,77.162
YP_009702436.1,YP_009703637.1,77.162
YP_009408251.1,YP_009465836.1,58.727
YP_010842321.1,YP_010842322.1,74.866
YP_010842321.1,YP_010842326.1,67.955
YP_009281893.1,YP_233031.1,70.659
YP_004061651.1,YP_009172777.1,87.26
YP_004061651.1,YP_007674885.1,94.378
YP_004061651.1,YP_009173022.1,98.976
YP_004895057.1,YP_010776818.1,81.472
YP_004895060.1,YP_010788479.1,49.938
YP_004061651.1,YP_009172504.1,87.884
NP_659620.1,NP_938303.1,75.289
NP_051757.1,NP_659620.1,74.827
NP_659620.1,YP_227432.1,79.35
YP_009255206.1,YP_009345149.1,64.752
YP_009702436.1,YP_009702930.1,77.605
YP_009255206.1,YP_009345182.1,68.407
YP_004895051.1,YP_010776813.1,79.05
YP_004895060.1,YP_010777726.1,50.611
YP_009282839.1,YP_233031.1,69.685
YP_009408251.1,YP_010803255.1,54.77
YP_009408251.1,YP_010841881.1,46.335
YP_009408251.1,YP_010789835.1,47.312
YP_009408251.1,YP_010788765.1,49.444
YP_009408003.1,YP_009408254.1,66.822
YP_009408254.1,YP_010509286.1,88.626
YP_004895053.1,YP_010788358.1,90.642
YP_004895053.1,YP_010776814.1,94.638
YP_004895049.1,YP_010777810.1,73.614
YP_004895049.1,YP_010776812.1,84.512
YP_004895049.1,YP_010788362.1,84.321
NP_659620.1,YP_232958.1,66.744
NP_659620.1,YP_717386.1,66.513
NP_659620.1,NP_671578.1,66.282
NP_659620.1,YP_010509286.1,66.975
NP_659620.1,YP_010085745.1,66.744
NP_659620.1,YP_005296252.1,74.134
NP_051932.1,NP_659620.1,74.827
NP_073433.1,NP_659620.1,75.751
YP_009281780.1,YP_232915.1,78.873
YP_009282726.1,YP_232915.1,76.757
YP_009342148.1,YP_010087940.1,72.141
NP_064777.1,NP_065054.1,100.0
YP_009143454.1,YP_233031.1,75.698
YP_010085813.1,YP_233031.1,93.12
NP_659620.1,YP_009143384.1,65.82
NP_659620.1,YP_009408456.1,66.513
NP_659620.1,YP_009408254.1,66.513
NP_042105.1,NP_659620.1,66.282
NP_659620.1,YP_009408003.1,67.512
NP_659620.1,YP_009281823.1,66.282
NP_659620.1,YP_009282769.1,66.513
YP_010842315.1,YP_010842350.1,63.158
NP_042183.1,YP_010377141.1,98.084
NP_042183.1,YP_717463.1,98.851
YP_009408428.1,YP_227408.1,69.195
YP_009172875.1,YP_009173118.1,86.624
YP_009255202.1,YP_009507241.1,69.974
YP_009255202.1,YP_009345149.1,70.496
YP_009255202.1,YP_009345159.1,78.421
YP_009255202.1,YP_009507150.1,77.895
NP_659620.1,YP_010085531.1,66.051
YP_009255196.1,YP_009310384.1,60.296
YP_009255196.1,YP_009507157.1,61.268
YP_009255196.1,YP_009345156.1,63.052
YP_009172600.1,YP_009173118.1,91.083
NP_073427.1,NP_659614.1,42.94
NP_659614.1,YP_227425.1,45.349
YP_003969700.1,YP_003970160.1,56.309
NP_955270.1,YP_003457392.1,36.354
NP_955270.1,NP_957863.1,36.433
NP_955270.1,NP_957995.1,36.819
NP_955270.1,YP_009112825.1,36.779
NP_955270.1,YP_227485.1,37.797
NP_051813.1,NP_955270.1,36.894
NP_955270.1,YP_010377118.1,39.357
NP_536548.1,NP_955270.1,39.357
NP_955270.1,YP_009408057.1,38.84
YP_004894239.1,YP_010776062.1,90.11
YP_003969700.1,YP_003970042.1,55.829
YP_010085486.1,YP_717343.1,95.71
YP_010509244.1,YP_717343.1,95.979
YP_010085703.1,YP_717343.1,96.247
YP_009281780.1,YP_717343.1,80.112
YP_009282726.1,YP_717343.1,77.151
YP_009143342.1,YP_717343.1,79.144
YP_010377023.1,YP_717343.1,94.102
YP_008357305.1,YP_009010301.1,88.602
YP_008357305.1,YP_009010769.1,91.398
NP_051957.1,YP_009162537.1,40.758
NP_051957.1,YP_784289.1,64.258
NP_051957.1,YP_009389342.1,66.977
NP_051957.1,YP_009112795.1,66.641
NP_051957.1,YP_003457361.1,67.606
NP_051957.1,YP_009448056.1,70.442
NP_051957.1,YP_009046131.1,70.442
NP_051957.1,YP_009480607.1,70.419
NP_051957.1,YP_009268789.1,71.739
NP_051957.1,YP_010085204.1,71.705
NP_051957.1,YP_010085368.1,72.016
NP_051957.1,YP_008658488.1,75.311
NP_051957.1,YP_004821431.1,79.27
NP_051957.1,YP_009329703.1,80.543
NP_051957.1,YP_005296275.1,80.388
NP_051957.1,YP_009408478.1,80.28
NP_051957.1,NP_536517.1,80.745
NP_051957.1,YP_009143406.1,80.202
NP_051957.1,YP_009408276.1,80.668
NP_051957.1,YP_009281845.1,80.745
NP_051957.1,YP_009282791.1,80.901
NP_659620.1,YP_008658467.1,54.691
