qseqid,sseqid,pident
NP_064848.1,YP_008004501.1,0.897
NP_064848.1,YP_008003891.1,0.872
NP_048226.1,NP_064848.1,0.6
YP_001426167.1,YP_009701899.1,0.53
NP_957878.1,YP_009408072.1,0.737
YP_004894961.1,YP_010776735.1,0.777
YP_001293270.1,YP_232988.1,0.685
NP_051790.1,YP_232988.1,0.686
YP_008003739.1,YP_008003973.1,0.845
YP_008003739.1,YP_008004600.1,0.83
YP_009112840.1,YP_009408072.1,0.73
YP_009342181.1,YP_073585.1,0.915
YP_009342181.1,YP_010087925.1,0.908
YP_009703085.1,YP_009927152.1,0.922
YP_009281853.1,YP_227463.1,0.696
YP_010776526.1,YP_010780269.1,0.591
YP_007354524.1,YP_010789883.1,0.78
YP_010085811.1,YP_010509354.1,0.956
NP_536562.1,YP_010085811.1,0.953
NP_042172.1,YP_010085811.1,0.953
YP_007676289.1,YP_009465912.1,0.611
NP_051970.1,NP_150518.1,0.865
NP_051970.1,YP_009329717.1,0.83
NP_570517.1,YP_009408509.1,0.739
NP_570517.1,YP_009408307.1,0.739
NP_570517.1,YP_004821465.1,0.732
YP_009046332.1,YP_009046341.1,0.414
NP_039061.1,YP_009046341.1,0.417
YP_009046095.1,YP_009046341.1,0.414
NP_064848.1,YP_008004199.1,0.898
YP_010085811.1,YP_717453.1,0.957
YP_010085811.1,YP_233026.1,0.957
YP_009282766.1,YP_009408000.1,0.762
YP_009408000.1,YP_010085742.1,0.76
NP_671575.1,YP_009408000.1,0.76
YP_009143381.1,YP_009408000.1,0.762
NP_042840.1,YP_009702393.1,0.955
NP_042158.1,NP_570517.1,0.948
YP_009703085.1,YP_009703484.1,0.963
YP_009703085.1,YP_009703799.1,0.961
YP_010780807.1,YP_010782111.1,0.805
YP_009172501.1,YP_009173019.1,0.905
NP_039085.1,YP_009046341.1,0.394
YP_009046117.1,YP_009046341.1,0.397
YP_009703271.1,YP_009703640.1,0.963
YP_009703640.1,YP_009927154.1,0.939
YP_003831.1,YP_009259410.1,0.962
YP_003831.1,YP_009506687.1,0.96
YP_003406778.1,YP_009507167.1,0.691
YP_003406778.1,YP_009238550.1,0.675
NP_536492.1,YP_009408000.1,0.759
YP_009408000.1,YP_009408251.1,0.762
YP_009281820.1,YP_009408000.1,0.758
YP_009408000.1,YP_009408453.1,0.759
YP_004821405.1,YP_009408000.1,0.74
NP_570202.1,YP_009408000.1,0.724
NP_619941.1,YP_010085811.1,0.958
NP_570532.1,YP_010085811.1,0.957
YP_003406778.1,YP_009310391.1,0.616
YP_009703486.1,YP_009703640.1,0.964
YP_009408000.1,YP_717383.1,0.765
YP_009408000.1,YP_010085528.1,0.764
NP_619870.1,YP_009408000.1,0.762
YP_009408000.1,YP_010377062.1,0.762
YP_009282799.1,YP_227463.1,0.7
NP_938334.1,YP_009282799.1,0.711
YP_001293270.1,YP_009282799.1,0.692
NP_150513.1,YP_009282799.1,0.69
NP_051965.1,YP_009282799.1,0.694
YP_008658497.1,YP_009282799.1,0.668
YP_005296283.1,YP_009282799.1,0.651
YP_009282799.1,YP_009329713.1,0.647
YP_009282799.1,YP_010085378.1,0.638
YP_009282799.1,YP_010085214.1,0.637
NP_570517.1,YP_717438.1,0.946
NP_570517.1,YP_010377118.1,0.935
NP_570517.1,NP_671631.1,0.935
NP_039060.1,YP_009046332.1,0.414
YP_003406778.1,YP_009254756.1,0.864
YP_003406778.1,YP_004346997.1,0.696
YP_009281853.1,YP_009282799.1,0.941
YP_009143414.1,YP_009282799.1,0.927
YP_009282799.1,YP_010085563.1,0.92
NP_671608.1,YP_009282799.1,0.911
YP_009282799.1,YP_717415.1,0.908
YP_009282799.1,YP_010085774.1,0.908
YP_009282799.1,YP_010377095.1,0.906
NP_042135.1,YP_009282799.1,0.905
YP_009282799.1,YP_009408486.1,0.821
YP_004821439.1,YP_009282799.1,0.799
YP_003986983.1,YP_010777389.1,0.906
NP_039100.1,YP_001293262.1,0.733
NP_039100.1,NP_659643.1,0.733
NP_570517.1,YP_010085797.1,0.932
NP_570517.1,YP_010509339.1,0.931
NP_570517.1,NP_619925.1,0.925
YP_003212852.1,YP_009172518.1,0.943
YP_009702599.1,YP_009703640.1,0.967
YP_009702648.1,YP_009703335.1,1.0
YP_009702648.1,YP_009703534.1,1.0
YP_009702329.1,YP_009702648.1,1.0
YP_010085686.1,YP_010377009.1,0.911
NP_536525.1,YP_232988.1,0.951
NP_570494.1,YP_232988.1,0.952
NP_671608.1,YP_232988.1,0.951
YP_010085469.1,YP_010377009.1,0.773
YP_009238870.1,YP_009506992.1,0.878
YP_004347284.1,YP_009506992.1,0.841
NP_570534.1,YP_717456.1,0.9
YP_010085812.1,YP_717456.1,0.878
NP_536548.1,NP_570517.1,0.933
YP_004894663.1,YP_010788744.1,0.883
YP_010776434.1,YP_010777240.1,0.688
NP_039100.1,YP_009282791.1,0.744
NP_039100.1,YP_009408026.1,0.737
NP_042176.1,YP_717456.1,0.866
YP_010085604.1,YP_717456.1,0.762
NP_570517.1,YP_009143437.1,0.854
YP_009552418.1,YP_010084771.1,0.953
YP_004347164.1,YP_009345408.1,0.864
YP_004347164.1,YP_009310234.1,0.694
YP_004347164.1,YP_009254975.1,0.642
YP_233030.1,YP_717456.1,0.9
NP_957928.1,YP_009389308.1,0.757
YP_010085175.1,YP_010085339.1,0.932
YP_004063455.1,YP_009172518.1,0.995
YP_007674871.1,YP_009172518.1,0.999
YP_001648105.1,YP_009172518.1,0.944
YP_009702438.1,YP_009703271.1,0.964
YP_009702438.1,YP_009927154.1,0.94
YP_008357404.1,YP_009010873.1,0.971
YP_004894374.1,YP_010789581.1,0.731
YP_010789035.1,YP_010789581.1,0.72
YP_010776191.1,YP_010789581.1,0.717
YP_010777131.1,YP_010789581.1,0.7
YP_010777209.1,YP_010788744.1,0.477
YP_003986796.1,YP_010788744.1,0.476
YP_010780386.1,YP_010788744.1,0.388
NP_039100.1,NP_957965.1,0.683
NP_039100.1,YP_009389342.1,0.681
NP_039100.1,YP_003457361.1,0.677
NP_039100.1,YP_010085368.1,0.791
NP_039100.1,YP_010085554.1,0.747
NP_039100.1,NP_671600.1,0.746
YP_009702279.1,YP_009702438.1,0.966
NP_042726.1,YP_009702438.1,0.966
YP_009702438.1,YP_009702599.1,0.965
YP_009702438.1,YP_009703640.1,0.965
YP_009702438.1,YP_009703486.1,0.965
YP_010779402.1,YP_010780343.1,0.731
YP_010776498.1,YP_010780343.1,0.719
YP_010780343.1,YP_010841936.1,0.705
YP_009480607.1,YP_010085554.1,0.739
NP_957833.1,YP_009480607.1,0.697
YP_003457361.1,YP_009480607.1,0.694
YP_010085661.1,YP_010085870.1,0.927
NP_955267.1,YP_009448093.1,0.879
YP_009177147.1,YP_009448093.1,0.857
YP_009448093.1,YP_010085233.1,0.726
YP_009448093.1,YP_010085397.1,0.725
YP_008658488.1,YP_009480607.1,0.755
YP_009408026.1,YP_009480607.1,0.755
NP_671604.1,YP_010085770.1,0.938
NP_671604.1,YP_010509312.1,0.937
YP_007354542.1,YP_010779388.1,0.889
YP_010781210.1,YP_010782594.1,0.83
YP_010779737.1,YP_010789581.1,0.84
YP_009094690.1,YP_009254993.1,0.778
YP_009094690.1,YP_009238756.1,0.577
NP_051794.1,NP_938338.1,0.809
NP_150517.1,NP_938338.1,0.808
YP_004895133.1,YP_010776879.1,1.0
YP_003986717.1,YP_010789581.1,0.699
YP_010789581.1,YP_010841576.1,0.683
YP_010782242.1,YP_010789581.1,0.65
YP_010780935.1,YP_010789581.1,0.64
NP_042135.1,YP_010085378.1,0.633
YP_009143414.1,YP_010085378.1,0.633
YP_010085378.1,YP_010377095.1,0.631
YP_009408072.1,YP_009480652.1,0.766
NP_957945.1,YP_003457341.1,0.784
NP_957813.1,NP_957945.1,0.783
NP_957945.1,YP_009389323.1,0.751
NP_570517.1,YP_010085587.1,0.934
NP_938338.1,YP_009408038.1,0.775
NP_938338.1,YP_009329716.1,0.745
NP_938338.1,YP_005296287.1,0.741
NP_938338.1,YP_010085778.1,0.73
NP_938338.1,YP_717419.1,0.73
NP_570498.1,NP_938338.1,0.729
YP_009389342.1,YP_009480607.1,0.691
YP_009268789.1,YP_009480607.1,0.808
NP_938338.1,YP_009143418.1,0.725
YP_003986896.1,YP_010777305.1,0.937
YP_009345293.1,YP_009506992.1,0.84
YP_003407040.1,YP_009506992.1,0.755
YP_009255095.1,YP_009506992.1,0.746
YP_001426167.1,YP_009701902.1,0.748
YP_001293230.1,YP_010377054.1,0.694
YP_001293230.1,YP_010509275.1,0.694
YP_001293230.1,YP_009281811.1,0.693
NP_536484.1,YP_001293230.1,0.693
YP_001293230.1,YP_009282757.1,0.692
NP_671567.1,YP_001293230.1,0.691
YP_232988.1,YP_717415.1,0.952
YP_010377095.1,YP_232988.1,0.952
NP_150473.1,YP_001293230.1,0.955
NP_073468.1,NP_938338.1,0.934
NP_570504.1,YP_009282809.1,0.914
