qseqid,sseqid,pident
NP_536605.1,YP_010085656.1,89.28
NP_150550.1,YP_004821481.1,84.06
YP_010788456.1,YP_010788456.1,100.0
YP_003986477.1,YP_003986477.1,100.0
YP_010796907.1,YP_010796907.1,100.0
YP_009094732.1,YP_009255043.1,86.07
YP_003987096.1,YP_003987096.1,100.0
NP_955166.1,NP_955166.1,100.0
YP_009174695.1,YP_009174695.1,100.0
YP_003987096.1,YP_010777491.1,94.87
YP_004894498.1,YP_007354345.1,60.19
YP_004894498.1,YP_010779615.1,59.51
NP_064848.1,YP_008004199.1,91.77
NP_064848.1,NP_064848.1,100.0
YP_010779510.1,YP_010780508.1,68.82
YP_010841881.1,YP_010841881.1,100.0
YP_003969869.1,YP_003969869.1,100.0
YP_009259403.1,YP_009259403.1,100.0
YP_009703103.1,YP_009703103.1,100.0
YP_009703103.1,YP_009703290.1,100.0
YP_009010597.1,YP_009010597.1,100.0
NP_048939.2,YP_001427032.1,66.23
YP_010789070.1,YP_010841540.1,55.24
YP_010789070.1,YP_010789070.1,100.0
YP_004894867.1,YP_004894867.1,100.0
YP_010085865.1,YP_010377173.1,91.85
NP_048939.2,YP_001426181.1,67.55
YP_009703101.1,YP_009927169.1,97.81
YP_009703103.1,YP_009927171.1,97.82
YP_009703103.1,YP_009703816.1,99.72
YP_009703103.1,YP_009703655.1,99.91
YP_010788530.1,YP_010788530.1,100.0
NP_955157.1,YP_009046094.1,38.49
NP_955157.1,YP_009046332.1,38.85
YP_010796905.1,YP_010796905.1,100.0
YP_004894498.1,YP_010788912.1,94.81
YP_004894498.1,YP_010776312.1,96.05
YP_004894498.1,YP_004894498.1,100.0
YP_009702063.1,YP_009702063.1,100.0
NP_048939.2,YP_009701907.1,67.08
YP_009702061.1,YP_009702061.1,100.0
NP_955157.1,YP_009046095.1,38.94
NP_955157.1,YP_009448017.1,39.06
NP_955157.1,YP_009046341.1,58.44
NP_955157.1,YP_009046104.1,58.83
NP_955157.1,YP_009448026.1,58.77
NP_955157.1,NP_955157.1,100.0
NP_042233.1,NP_536605.1,87.94
NP_048939.2,YP_009325819.1,89.82
YP_009174728.1,YP_009174728.1,100.0
YP_004732873.1,YP_009010908.1,78.44
YP_004732873.1,YP_008357439.1,78.39
YP_004732873.1,YP_009010443.1,78.39
YP_004732873.1,YP_009010684.1,94.54
YP_004732873.1,YP_004732873.1,100.0
YP_009448511.1,YP_009448511.1,100.0
NP_048939.2,YP_001498788.1,90.0
YP_009448060.1,YP_009448060.1,100.0
YP_004894498.1,YP_010789693.1,59.84
NP_536605.1,YP_010509398.1,93.48
NP_536605.1,YP_010377173.1,98.49
NP_536605.1,NP_536605.1,100.0
NP_536605.1,YP_010085865.1,92.14
YP_003212834.1,YP_003212834.1,100.0
YP_005296243.1,YP_009407992.1,63.76
YP_010779967.1,YP_010788325.1,77.16
YP_010779967.1,YP_010789397.1,84.89
YP_010779967.1,YP_010779967.1,100.0
YP_005296243.1,YP_009408242.1,62.54
YP_005296243.1,YP_009408444.1,62.44
YP_005296243.1,YP_010085519.1,61.9
NP_955151.1,NP_955151.1,100.0
YP_005296243.1,YP_009329664.1,94.23
YP_005296243.1,YP_005296243.1,100.0
YP_009174732.1,YP_009174732.1,100.0
YP_009174729.1,YP_009174729.1,100.0
YP_010788854.1,YP_010788854.1,100.0
YP_010788855.1,YP_010788855.1,100.0
YP_009046034.1,YP_009447949.1,93.74
YP_009046034.1,YP_009046034.1,100.0
YP_004894500.1,YP_010841709.1,34.47
YP_004894500.1,YP_010780731.1,38.02
YP_004894500.1,YP_010782039.1,37.69
YP_004894500.1,YP_007354347.1,45.55
YP_004894500.1,YP_010789695.1,46.02
YP_004894500.1,YP_010779613.1,46.17
YP_004894500.1,YP_010776314.1,84.34
YP_004894500.1,YP_010788910.1,86.91
YP_004894500.1,YP_004894500.1,100.0
YP_009702058.1,YP_009702058.1,100.0
YP_005296243.1,YP_009143372.1,62.54
YP_005296243.1,YP_009282757.1,62.54
YP_005296243.1,YP_010509275.1,62.04
YP_005296243.1,YP_010085734.1,62.24
YP_005296243.1,YP_010377054.1,62.04
YP_005296243.1,YP_009281811.1,62.46
NP_042238.1,NP_955149.1,46.89
NP_955149.1,YP_010509402.1,46.66
YP_007354788.1,YP_007354788.1,100.0
YP_009174654.1,YP_009174728.1,77.48
YP_009174654.1,YP_009174654.1,100.0
NP_048160.1,NP_048160.1,100.0
YP_004732890.1,YP_009010700.1,88.22
YP_004732890.1,YP_004732890.1,100.0
YP_010788955.1,YP_010841664.1,72.16
YP_010788955.1,YP_010789653.1,81.67
YP_010788955.1,YP_010788955.1,100.0
YP_001425827.1,YP_001425827.1,100.0
YP_010783566.1,YP_010783566.1,100.0
YP_784192.1,YP_784192.1,100.0
NP_149672.1,YP_009046774.1,62.68
NP_149672.1,NP_149672.1,100.0
NP_955149.1,YP_009046333.1,59.48
NP_955149.1,YP_009143326.1,54.29
NP_955149.1,YP_005296351.1,45.34
NP_955149.1,YP_004821357.1,44.42
NP_955149.1,YP_010377176.1,46.3
YP_009448056.1,YP_009448056.1,100.0
NP_048134.1,NP_048134.1,100.0
YP_010783568.1,YP_010783568.1,100.0
YP_010783567.1,YP_010783567.1,100.0
NP_048939.2,YP_001497977.1,90.94
YP_009702097.1,YP_009702097.1,100.0
NP_955149.1,YP_010085869.1,45.99
NP_955149.1,YP_009408395.1,46.5
NP_955149.1,YP_009281948.1,46.82
NP_955149.1,YP_009408189.1,46.36
NP_671688.1,NP_955149.1,46.67
NP_536609.1,YP_009281948.1,72.8
NP_536609.1,YP_009408189.1,73.9
NP_536609.1,YP_009408395.1,75.71
NP_536609.1,YP_009143508.1,77.29
NP_536609.1,YP_010085660.1,79.03
NP_955149.1,YP_009046096.1,59.7
YP_009448056.1,YP_010085554.1,70.74
YP_009448056.1,YP_010377087.1,70.54
YP_009448056.1,YP_010085368.1,75.97
YP_009448056.1,YP_010085204.1,76.05
NP_955149.1,NP_955149.1,100.0
NP_955149.1,YP_009143508.1,46.52
NP_955149.1,YP_010085660.1,46.27
NP_955149.1,YP_717526.1,46.71
NP_955149.1,YP_009282894.1,47.87
NP_955149.1,YP_009448018.1,59.06
YP_009281891.1,YP_009282837.1,98.37
NP_955148.1,YP_009046341.1,40.21
NP_955148.1,YP_009448026.1,40.01
NP_955148.1,YP_009448016.1,41.63
NP_955148.1,YP_009046331.1,41.37
YP_001425827.1,YP_009701768.1,98.76
YP_009448056.1,YP_009480607.1,66.74
NP_536609.1,NP_955149.1,46.25
NP_042238.1,NP_536609.1,84.34
NP_536609.1,YP_010085869.1,84.94
NP_536609.1,YP_717526.1,85.74
NP_536609.1,YP_010509402.1,92.31
NP_536609.1,YP_010377176.1,98.83
NP_536609.1,NP_536609.1,100.0
NP_536609.1,YP_004821357.1,70.75
NP_536609.1,YP_009282894.1,71.11
NP_955148.1,NP_955178.1,50.22
NP_955148.1,YP_009046117.1,51.12
NP_955148.1,YP_009046332.1,59.22
NP_955148.1,YP_009046095.1,61.03
NP_955148.1,YP_009448017.1,60.72
NP_955148.1,NP_955148.1,100.0
NP_955148.1,YP_009046104.1,40.37
NP_955148.1,NP_955157.1,40.38
YP_010780508.1,YP_010780508.1,100.0
YP_009254858.1,YP_009254858.1,100.0
YP_009448056.1,YP_010509308.1,70.54
YP_009448056.1,YP_010085766.1,70.7
NP_048939.2,NP_048939.2,100.0
YP_001427279.1,YP_009701703.1,82.89
YP_009281891.1,YP_010377133.1,96.04
YP_009281891.1,YP_010085811.1,96.13
YP_009281891.1,YP_010085252.1,76.06
YP_009281891.1,YP_010085416.1,76.06
YP_009281891.1,YP_009329749.1,78.39
YP_009281891.1,YP_009408072.1,82.56
YP_009281891.1,YP_009408524.1,92.35
YP_009281891.1,YP_009408322.1,92.53
YP_009174653.1,YP_009174653.1,100.0
YP_001498556.1,YP_009665422.1,98.39
YP_009281891.1,YP_010085603.1,96.04
YP_001427279.1,YP_001427279.1,100.0
YP_001497977.1,YP_001497977.1,100.0
YP_010780508.1,YP_010841823.1,67.04
YP_010780508.1,YP_010789791.1,67.58
YP_010780508.1,YP_010788816.1,68.25
YP_010780508.1,YP_010781799.1,91.32
NP_955148.1,YP_009046094.1,41.29
YP_010777177.1,YP_010777177.1,100.0
NP_150550.1,YP_010085416.1,77.16
NP_150550.1,YP_008658538.1,79.5
NP_150550.1,YP_010509354.1,82.87
YP_009281891.1,YP_010509354.1,95.96
YP_009281892.1,YP_010085604.1,68.0
YP_009281892.1,YP_009282838.1,83.44
YP_009281892.1,YP_009281892.1,100.0
YP_009281892.1,YP_010085812.1,64.66
YP_001498556.1,YP_001498556.1,100.0
YP_001497977.1,YP_009701907.1,66.29
YP_001497977.1,YP_009325819.1,85.85
YP_009281891.1,YP_009281891.1,100.0
YP_009281891.1,YP_009389387.1,71.01
YP_009281891.1,YP_009480652.1,74.76
YP_009281891.1,YP_009448112.1,74.26
YP_010788659.1,YP_010841990.1,64.77
YP_009174650.1,YP_009174650.1,100.0
NP_150550.1,YP_010085603.1,82.87
YP_003406966.1,YP_009255007.1,82.2
NP_955147.1,YP_009046095.1,40.85
